id,date,variable,value
1312,2015-11-09,JD,26.75
1313,2015-11-16,JD,29.99
1314,2015-11-23,JD,29.950001
1315,2015-11-30,JD,32.25
1316,2015-12-07,JD,30.549999
1317,2015-12-14,JD,32.650002
1318,2015-12-21,JD,32.580002
1319,2015-12-28,JD,32.264999
1320,2016-01-04,JD,27.620001
1321,2016-01-11,JD,26.99
1322,2016-01-18,JD,27.27
1323,2016-01-25,JD,26.030001
1324,2016-02-01,JD,23.639999
1325,2016-02-08,JD,23.129999
1326,2016-02-15,JD,25.540001
1327,2016-02-22,JD,25.41
1328,2016-02-29,JD,26.48
1329,2016-03-07,JD,27.83
1330,2016-03-14,JD,27.08
1331,2016-03-21,JD,26.360001
1332,2016-03-28,JD,26.76
1333,2016-04-04,JD,26.860001
1334,2016-04-11,JD,29.879999
1335,2016-04-18,JD,28.299999
1336,2016-04-25,JD,25.559999
1337,2016-05-02,JD,25.200001
1338,2016-05-09,JD,22.639999
1339,2016-05-16,JD,23.450001
1340,2016-05-23,JD,24.25
1341,2016-05-30,JD,22.98
1342,2016-06-06,JD,21.059999
1343,2016-06-13,JD,20.129999
1344,2016-06-20,JD,20.639999
1345,2016-06-27,JD,21.309999
1346,2016-07-04,JD,20.719999
1347,2016-07-11,JD,21.41
1348,2016-07-18,JD,21.92
1349,2016-07-25,JD,21.65
1350,2016-08-01,JD,21.85
1351,2016-08-08,JD,24.65
1352,2016-08-15,JD,25.91
1353,2016-08-22,JD,25.790001
1354,2016-08-29,JD,25.549999
1355,2016-09-05,JD,26.370001
1356,2016-09-12,JD,26.23
1357,2016-09-19,JD,26.84
1358,2016-09-26,JD,26.09
1359,2016-10-03,JD,27.030001
1360,2016-10-10,JD,26.5
1361,2016-10-17,JD,26.870001
1362,2016-10-24,JD,25.9
1363,2016-10-31,JD,24.65
1364,2016-11-07,JD,24.040001
1365,2016-11-14,JD,26.450001
1366,2016-11-21,JD,25.540001
1367,2016-11-28,JD,25.879999
1368,2016-12-05,JD,26.84
1369,2016-12-12,JD,25.610001
1370,2016-12-19,JD,25.49
1371,2016-12-26,JD,25.440001
